studyName,studyYear,studyLoc,replicate,blockNumber,rowNumber,colNumber,plotNumber,germplasmName,intercropGermplasmName,observationLevel,observationUnitName,Oat_Height_1,Oat_Height_2,Oat_Height_3,Pea_Height_1,Pea_Height_2,Pea_Height_3,Oat_establishment,Pea_establishment,Lodging,Oat_Heading_Date,Pea_Flowering_Date
B4I_2025_AL,2025,AL,1,1,4,16,1145,IL23-1547,NDP170350Y,plot,B4I_2025_AL_1145,28,77,28,15,54,15,9,3,2,119,115
B4I_2025_AL,2025,AL,1,1,4,15,1146,IL22-5365,NDP250186G,plot,B4I_2025_AL_1146,33,80,33,19,54,19,10,6,4,122,115
B4I_2025_AL,2025,AL,1,1,4,14,1147,IL23-1450,NDP250070Y,plot,B4I_2025_AL_1147,26,92,26,22,57,22,4,7,4,119,115
B4I_2025_AL,2025,AL,1,1,4,13,1148,IL23-1947,NDP250110G,plot,B4I_2025_AL_1148,24,86,24,17,46,17,15,2,4,122,115
B4I_2025_AL,2025,AL,1,1,4,12,1149,IL23-2554,NDP250180Y,plot,B4I_2025_AL_1149,27,70,27,21,48,21,15,1,3,128,119
B4I_2025_AL,2025,AL,1,1,4,11,1150,IL23-943,NDP150232Y,plot,B4I_2025_AL_1150,27,77,27,23,56,23,16,6,1,125,119
B4I_2025_AL,2025,AL,1,1,4,10,1151,IL23-3572,NDP170183Y,plot,B4I_2025_AL_1151,26,74,26,21,56,21,19,5,9,125,119
B4I_2025_AL,2025,AL,1,1,4,9,1152,IL23-1115,NDP170012G,plot,B4I_2025_AL_1152,27,76,27,14,43,14,11,4,0,125,119
B4I_2025_AL,2025,AL,1,1,4,8,1153,IL21-4011,NDP150232Y,plot,B4I_2025_AL_1153,28,83,28,28,62,28,11,4,1,125,119
B4I_2025_AL,2025,AL,1,1,4,7,1154,IL20-615,NDP250060Y,plot,B4I_2025_AL_1154,30,77,30,19,53,19,11,2,2,119,115
B4I_2025_AL,2025,AL,1,1,4,6,1155,IL23-959,NDP250073Y,plot,B4I_2025_AL_1155,27,70,27,15,46,15,14,2,0,125,119
B4I_2025_AL,2025,AL,1,1,4,5,1156,IL23-943,NDP160034Y,plot,B4I_2025_AL_1156,28,82,28,22,45,22,11,4,1,125,119
B4I_2025_AL,2025,AL,1,1,4,4,1157,IL22-5070,NDP150228Y,plot,B4I_2025_AL_1157,27,87,27,22,50,22,9,7,4,119,115
B4I_2025_AL,2025,AL,1,1,4,3,1158,IL22-3146,NDP170022G,plot,B4I_2025_AL_1158,30,79,30,14,34,14,10,3,3,122,115
B4I_2025_AL,2025,AL,1,1,4,2,1159,IL20-7841,NDP170031G,plot,B4I_2025_AL_1159,30,76,30,19,35,19,15,5,6,125,119
B4I_2025_AL,2025,AL,1,1,4,1,1160,IL23-2246,NDP140295G,plot,B4I_2025_AL_1160,25,68,25,17,43,17,8,6,7,125,119
